aX,aY,aZ,gX,gY,gZ
0.176,-0.436,2.814,53.772,74.646,-48.767
0.122,-0.248,2.968,-84.351,90.027,-21.667
0.015,0.069,2.928,-189.392,126.282,-1.16
-0.077,0.371,2.735,-224.854,175.476,2.502
-0.113,0.615,2.48,-201.66,224.304,-6.165
-0.109,0.759,2.186,-142.639,259.338,-21.118
-0.123,0.795,1.942,-73.975,279.48,-39.429
-0.149,0.739,1.765,-15.991,288.818,-60.303
-0.19,0.608,1.597,26.672,292.664,-80.017
-0.23,0.446,1.421,55.847,296.326,-93.628
-0.263,0.321,1.233,75.317,303.162,-100.525
-0.191,0.242,1.027,83.008,315.918,-96.68
-0.347,0.144,0.88,78.247,330.872,-85.571
-0.381,0.058,0.682,87.646,331.909,-83.374
-0.345,0.017,0.488,88.44,329.346,-82.458
-0.344,-0.018,0.34,85.144,320.007,-79.529
-0.199,-0.049,0.157,86.487,309.021,-75.378
-0.175,-0.032,0.077,75.134,295.471,-76.233
-0.151,0.014,0.064,61.523,278.076,-72.51
0.023,0.06,0.113,56.885,267.7,-66.467
0.073,0.077,0.129,56.335,260.925,-73.975
0.096,0.086,0.085,62.439,252.502,-80.933
0.154,0.043,0.025,71.35,247.314,-83.13
0.188,-0.043,-0.033,75.439,239.685,-85.999
0.223,-0.122,-0.113,71.167,235.046,-87.219
0.287,-0.194,-0.196,60.059,229.004,-86.914
0.321,-0.28,-0.253,43.03,219.238,-82.397
0.256,-0.235,-0.246,21.606,211.426,-77.637
0.473,-0.343,-0.203,4.272,208.191,-76.721
0.463,-0.271,-0.186,-16.846,206.665,-76.233
0.496,-0.365,-0.268,-6.226,205.872,-77.148
0.526,-0.414,-0.318,3.906,204.712,-78.918
0.514,-0.441,-0.359,-2.319,198.792,-79.834
0.543,-0.488,-0.437,-8.728,189.148,-77.087
0.563,-0.512,-0.466,-13.489,181.458,-72.021
0.59,-0.523,-0.516,-14.465,175.354,-69.885
0.598,-0.545,-0.613,-14.832,171.814,-67.566
0.59,-0.537,-0.638,-26.184,170.715,-63.171
