aX,aY,aZ,gX,gY,gZ
-0.464,0.118,-2.104,26.489,107.300,86.243
-0.405,0.135,-1.889,1.709,219.482,72.815
-0.083,0.134,-1.586,-13.428,311.279,79.956
0.168,0.158,-1.212,-45.410,361.511,102.661
0.313,0.171,-0.818,-85.388,377.258,115.967
0.341,0.159,-0.558,-106.262,385.925,112.671
0.345,0.123,-0.380,-102.173,396.851,101.379
0.390,0.058,-0.076,-87.524,407.104,86.853
0.439,-0.007,0.392,-92.834,412.415,67.139
0.512,-0.031,0.896,-118.591,400.940,34.485
0.531,-0.008,1.318,-139.587,356.689,-9.888
0.181,0.034,1.818,-151.367,288.635,-55.359
-0.295,0.072,2.136,-153.320,261.230,-82.703
-0.346,0.102,2.251,-117.371,282.227,-85.510
-0.335,0.169,2.294,-83.130,285.217,-73.914
-0.367,0.258,2.265,-80.200,258.911,-63.477
-0.424,0.333,2.222,-91.187,229.187,-56.519
-0.473,0.380,2.187,-91.248,207.397,-48.950
-0.491,0.382,2.106,-79.163,194.153,-40.955
-0.477,0.362,1.992,-64.758,187.134,-29.907
-0.439,0.323,1.875,-49.133,177.490,-17.090
-0.446,0.241,1.766,-39.001,164.551,-6.836
-0.316,0.037,1.625,-35.217,142.151,-0.916
-0.442,0.378,1.640,-89.905,120.422,8.728
-0.373,0.394,1.687,-62.378,100.159,30.396
-0.285,0.193,1.589,15.442,67.139,12.817
-0.346,0.104,1.425,18.311,39.978,-9.888
-0.378,0.173,1.358,10.559,10.132,-15.930
-0.427,0.181,1.276,7.751,-6.836,-27.283
-0.472,0.212,1.219,-9.888,-8.240,-36.987
-0.494,0.295,1.192,-22.949,-1.770,-32.166
-0.513,0.340,1.145,-20.447,7.019,-25.879
-0.501,0.334,1.108,-10.193,15.930,-23.010
-0.484,0.319,1.077,-4.211,19.409,-18.311
-0.485,0.264,1.009,-6.714,17.700,-13.062
-0.509,0.331,0.995,-23.987,8.972,-2.319
-0.435,0.403,1.062,-12.939,-4.028,10.254
-0.452,0.335,1.044,23.437,-21.545,6.775
-0.464,0.237,0.934,41.260,-19.836,-2.747
-0.442,0.221,0.901,51.270,-15.076,-4.028
-0.426,0.197,0.862,53.528,-15.991,-1.709
-0.431,0.180,0.833,39.490,-16.785,-0.854
-0.430,0.167,0.820,24.475,-16.479,1.526
-0.450,0.193,0.802,7.751,-12.329,6.470
-0.437,0.186,0.786,1.404,-5.310,9.155
-0.415,0.152,0.790,1.343,-1.404,10.132
-0.415,0.159,0.793,-2.136,-0.793,12.024
-0.407,0.152,0.793,-0.366,0.122,13.184
-0.408,0.143,0.798,3.113,-0.305,11.780
-0.411,0.133,0.796,7.385,-1.099,10.498
-0.417,0.125,0.802,9.460,0.000,8.179
-0.426,0.127,0.802,7.263,1.831,6.287
-0.428,0.126,0.807,5.798,3.357,5.371
-0.433,0.123,0.810,5.310,3.662,4.517
-0.436,0.129,0.814,4.700,4.639,4.333
-0.437,0.136,0.822,3.052,6.470,5.127
-0.437,0.137,0.829,2.930,8.362,5.432
-0.436,0.136,0.841,5.188,7.080,6.531
-0.435,0.133,0.857,5.188,6.042,7.324
-0.430,0.130,0.870,2.869,6.592,7.568
-0.427,0.130,0.881,1.099,6.165,8.240
-0.422,0.129,0.894,-1.343,7.202,7.568
-0.416,0.127,0.900,-1.221,6.104,6.409
-0.414,0.129,0.900,2.625,4.211,4.883
-0.408,0.126,0.899,4.944,2.502,4.211
-0.408,0.128,0.901,6.531,0.977,3.174
-0.411,0.131,0.902,6.226,2.014,1.099
-0.418,0.139,0.899,7.019,0.854,-1.099
-0.422,0.148,0.894,5.371,-0.977,-0.732
-0.425,0.153,0.901,2.441,-0.671,-0.610
-0.428,0.155,0.900,2.808,-1.831,-0.610
-0.428,0.157,0.897,2.502,-2.258,0.122
-0.427,0.156,0.894,4.089,-3.540,0.488
-0.427,0.155,0.888,4.761,-3.296,0.000
-0.424,0.151,0.885,5.920,-4.150,0.427
-0.424,0.151,0.882,6.287,-3.479,-0.305
-0.424,0.149,0.876,6.287,-4.272,-0.427
-0.424,0.150,0.876,3.723,-3.540,-0.183
-0.423,0.150,0.870,3.906,-3.906,-1.099
-0.422,0.147,0.868,2.075,-4.944,-0.183
-0.422,0.148,0.866,1.953,-4.272,-1.160
-0.422,0.144,0.861,2.930,-5.737,-1.282
-0.426,0.140,0.861,1.953,-5.005,-1.343
-0.426,0.139,0.856,3.723,-4.089,-2.136
-0.423,0.142,0.853,6.165,-4.578,-2.686
-0.423,0.143,0.850,5.127,-4.883,-1.465
-0.426,0.145,0.850,3.784,-3.479,-2.197
-0.428,0.148,0.850,4.089,-4.395,-2.441
-0.429,0.149,0.853,2.319,-4.578,-1.343
-0.430,0.152,0.853,2.319,-3.296,-1.953
-0.430,0.150,0.853,2.625,-4.150,-1.282
-0.430,0.149,0.853,2.014,-4.578,0.183
-0.430,0.146,0.857,2.258,-4.150,0.183
-0.427,0.151,0.857,1.282,-1.953,-0.732
-0.426,0.152,0.857,3.235,-2.014,-2.014
-0.427,0.154,0.853,3.967,-2.747,-1.831
-0.427,0.159,0.853,3.052,-3.784,-0.305
-0.431,0.162,0.850,1.770,-3.235,-0.916
-0.435,0.164,0.853,0.549,-2.014,-0.793
-0.435,0.164,0.856,1.099,-2.258,-0.488
-0.434,0.161,0.857,3.357,-3.235,-0.305
-0.434,0.160,0.859,3.235,-3.418,-0.549
-0.434,0.157,0.857,2.441,-3.479,0.122
-0.434,0.157,0.856,2.991,-3.418,-0.305
