aX,aY,aZ,gX,gY,gZ
0.807,0.954,-0.958,41.87,26.794,55.603
0.838,1.026,-1.016,37.72,22.095,53.04
0.868,1.085,-1.06,24.475,17.273,49.805
0.847,1.17,-1.109,9.155,16.113,46.875
0.815,1.263,-1.165,-1.343,16.418,44.495
0.781,1.376,-1.229,-8.179,13.367,40.833
0.754,1.499,-1.267,-11.108,3.54,34.18
0.733,1.601,-1.28,-14.832,-11.414,24.048
0.71,1.655,-1.243,-25.085,-30.151,11.353
0.695,1.661,-1.152,-41.992,-51.392,-2.197
0.698,1.607,-0.983,-61.096,-76.233,-17.212
0.691,1.514,-0.756,-69.763,-102.173,-33.691
0.671,1.403,-0.544,-64.514,-124.268,-48.523
0.637,1.304,-0.336,-57.556,-135.742,-62.256
0.577,1.181,-0.145,-54.871,-141.846,-70.19
0.528,1.073,0.026,-56.824,-141.602,-74.097
0.486,0.967,0.161,-68.481,-136.414,-72.632
0.463,0.888,0.296,-81.238,-127.014,-68.42
0.471,0.825,0.329,-100.22,-117.249,-61.401
0.509,0.792,0.359,-110.229,-110.168,-58.716
0.504,0.731,0.393,-97.351,-111.694,-62.317
0.534,0.629,0.442,-76.477,-119.263,-68.848
0.562,0.519,0.521,-54.26,-130.493,-79.773
0.549,0.437,0.603,-36.499,-136.597,-91.248
0.524,0.358,0.656,-19.714,-136.23,-94.299
0.499,0.281,0.698,-13.916,-126.526,-91.858
0.473,0.188,0.727,-22.034,-114.258,-85.571
0.469,0.131,0.724,-43.091,-102.173,-75.562
0.493,0.063,0.735,-61.096,-95.886,-66.101
0.513,-0.011,0.773,-69.092,-96.252,-61.829
0.529,-0.075,0.824,-69.58,-100.037,-61.035
0.563,-0.137,0.866,-59.387,-103.76,-59.387
0.583,-0.217,0.918,-42.786,-106.14,-58.289
0.605,-0.298,0.967,-30.334,-106.14,-62.5
0.639,-0.371,1.028,-18.311,-103.516,-63.904
0.659,-0.448,1.066,-7.202,-98.328,-61.829
0.676,-0.459,1.097,-3.601,-91.309,-57.556
0.685,-0.491,1.108,-2.075,-83.679,-50.659
0.723,-0.499,1.118,-7.812,-75.439,-42.419
0.76,-0.484,1.141,-16.113,-67.932,-33.142
0.79,-0.464,1.108,-19.531,-58.35,-24.841
0.813,-0.409,1.086,-24.048,-49.011,-16.418
0.846,-0.336,1.03,-33.875,-40.039,-8.728
0.871,-0.284,0.978,-36.194,-31.372,-4.15
0.895,-0.246,0.947,-33.508,-27.771,-3.601
0.915,-0.225,0.922,-29.846,-25.269,-5.371
0.919,-0.218,0.892,-24.231,-22.583,-9.033
0.92,-0.232,0.852,-16.785,-19.592,-12.39
0.925,-0.235,0.8,-8.179,-16.846,-12.878
0.927,-0.213,0.744,1.404,-13.55,-10.193
0.905,-0.194,0.682,9.827,-10.437,-6.47
0.905,-0.122,0.648,11.169,-7.751,-2.258
0.937,-0.077,0.606,10.132,-4.517,1.221
0.921,-0.072,0.571,5.127,-1.892,3.418
0.912,-0.067,0.555,-0.122,-0.732,4.578
0.912,-0.061,0.539,-5.066,-0.977,5.432
0.909,-0.041,0.533,-4.272,-2.319,5.554
0.906,-0.008,0.525,0.977,-3.784,5.432
0.903,0.037,0.522,6.653,-5.798,5.737
0.903,0.066,0.518,10.62,-7.019,4.944
0.908,0.085,0.514,13.733,-7.812,3.235
0.903,0.091,0.515,14.221,-7.874,2.319
0.9,0.104,0.508,14.099,-6.775,1.831
0.901,0.108,0.502,13.55,-6.042,2.747
0.9,0.11,0.498,11.719,-4.333,2.93
0.896,0.115,0.485,7.996,-2.38,3.479
0.894,0.126,0.472,6.47,-1.16,4.15
0.891,0.133,0.461,6.775,0,3.967
0.892,0.14,0.447,7.507,0.793,2.991
0.893,0.138,0.43,8.606,1.526,2.136
0.889,0.137,0.416,9.094,2.502,1.831
0.886,0.138,0.401,9.399,3.174,2.502
0.888,0.134,0.391,9.033,3.052,3.479
0.886,0.129,0.39,7.996,2.38,4.761
0.884,0.133,0.391,7.507,2.502,6.47
0.887,0.144,0.39,7.019,2.502,8.301
0.884,0.159,0.389,6.348,2.808,10.193
0.89,0.179,0.379,5.737,4.211,11.658
0.878,0.195,0.383,5.676,5.127,12.756
0.88,0.212,0.379,5.737,5.066,11.963
0.881,0.222,0.378,4.944,4.456,10.498
0.877,0.231,0.381,5.92,4.517,8.423
0.874,0.23,0.376,5.371,4.456,6.592
0.874,0.226,0.365,3.601,4.15,5.249
0.868,0.222,0.359,1.343,3.845,5.005
0.869,0.211,0.354,-1.099,3.174,5.676
0.868,0.218,0.358,-3.784,3.235,6.592
0.866,0.238,0.357,-5.188,3.357,7.263
0.865,0.25,0.355,-3.54,2.991,6.104
0.864,0.259,0.355,-0.183,1.465,3.662
0.868,0.247,0.355,4.395,-0.183,-0.122
0.871,0.227,0.365,8.545,-2.319,-2.991
0.88,0.212,0.376,10.437,-3.906,-4.395
0.887,0.207,0.389,10.071,-4.272,-4.456
0.889,0.198,0.399,9.46,-3.601,-3.479
0.892,0.19,0.398,6.348,-1.465,-2.319
0.893,0.182,0.392,2.441,0.732,-0.61
0.895,0.167,0.386,-0.61,2.747,0.427
0.899,0.161,0.381,-1.831,2.93,1.343
0.9,0.159,0.38,-1.709,3.601,1.709
0.905,0.161,0.378,1.465,3.113,1.587
0.912,0.169,0.371,1.77,4.211,1.831
0.911,0.177,0.365,3.601,3.235,2.136
0.911,0.185,0.352,2.747,4.639,1.77
0.909,0.187,0.344,2.38,4.211,2.197
0.905,0.186,0.342,2.258,4.517,1.16
0.903,0.18,0.345,2.136,3.296,0.61
0.899,0.171,0.351,2.075,2.441,-0.061
0.896,0.16,0.357,2.197,1.892,-0.488
0.894,0.155,0.36,1.831,1.709,-0.732
0.889,0.155,0.361,1.892,1.465,-0.549
0.892,0.16,0.364,3.357,1.282,-0.61
0.894,0.166,0.364,4.028,1.709,-0.305
0.893,0.17,0.363,4.15,2.136,-0.183
0.89,0.17,0.359,3.662,2.563,-0.122
0.889,0.169,0.351,2.991,2.625,0.305
0.891,0.167,0.352,3.479,1.892,-0.244
0.891,0.162,0.359,3.967,1.465,-0.244
0.893,0.164,0.363,4.333,0.916,0.122
,,,,,
0.399,1.704,-0.887,21.606,107.422,132.141
0.299,2.035,-1.171,19.409,106.873,128.357
0.194,2.291,-1.401,19.409,94.604,111.023
0.081,2.371,-1.563,4.944,72.754,85.693
0.054,2.29,-1.672,-37.842,48.95,61.646
0.025,2.184,-1.694,-81.726,21.484,41.016
0.001,2.051,-1.621,-103.027,-12.512,26.55
0.045,1.906,-1.464,-110.229,-49.5,16.113
0.054,1.765,-1.24,-122.559,-85.693,8.057
0.093,1.645,-0.958,-128.784,-120.667,1.709
0.163,1.552,-0.649,-123.718,-153.076,-7.751
0.258,1.41,-0.284,-110.168,-185.059,-21.912
0.346,1.262,0.078,-98.389,-209.167,-40.1
0.451,1.078,0.445,-93.689,-220.703,-59.509
0.545,0.843,0.801,-94.543,-222.412,-72.876
0.676,0.538,1.134,-92.651,-218.14,-75.012
0.724,0.203,1.337,-94.849,-208.496,-72.388
0.845,0.021,1.473,-96.802,-176.025,-65.735
0.825,-0.133,1.452,-72.021,-158.264,-58.472
0.892,-0.157,1.393,-52.368,-136.292,-46.997
0.873,-0.058,1.315,-53.162,-119.446,-31.555
0.883,0.105,1.246,-74.707,-104.858,-17.273
0.905,0.229,1.184,-94.91,-95.947,-9.705
0.932,0.239,1.166,-104.919,-91.003,-10.681
0.94,0.173,1.187,-105.652,-86.792,-20.996
0.948,0.08,1.193,-97.351,-83.069,-31.555
0.94,0.005,1.175,-84.351,-77.698,-36.865
0.908,-0.032,1.137,-75.378,-70.862,-36.438
0.902,-0.044,1.082,-69.275,-63.477,-34.485
0.879,-0.037,1.008,-64.88,-57.068,-31.372
0.857,0,0.92,-59.753,-51.453,-27.771
0.848,0.039,0.82,-58.655,-46.143,-24.231
0.83,0.053,0.74,-60.852,-43.701,-22.217
0.829,0.037,0.7,-61.035,-45.349,-23.437
0.833,-0.003,0.705,-57.495,-49.866,-26.611
0.84,-0.043,0.749,-50.72,-54.443,-28.748
0.858,-0.055,0.778,-42.908,-55.054,-28.259
0.881,-0.07,0.777,-35.645,-50.72,-26.794
0.9,-0.044,0.755,-30.396,-44.373,-25.33
0.911,-0.021,0.733,-25.757,-37.17,-23.56
0.914,0.016,0.693,-23.01,-30.823,-22.522
0.929,0.034,0.655,-19.775,-25.208,-23.01
0.939,0.035,0.629,-17.883,-20.996,-24.292
0.941,0.017,0.612,-13.306,-19.348,-26.917
0.924,0.01,0.607,-6.958,-18.005,-27.283
0.946,0.002,0.607,-0.244,-17.212,-25.94
0.898,0.022,0.58,3.479,-14.282,-22.278
0.945,0.052,0.547,6.409,-14.404,-22.278
0.912,0.092,0.521,-0.305,-7.385,-15.259
0.915,0.128,0.499,-4.272,-3.723,-11.963
0.91,0.17,0.467,-11.536,-0.244,-7.324
0.91,0.21,0.452,-10.559,1.16,-5.249
0.905,0.233,0.421,-7.874,1.77,-5.798
0.888,0.252,0.397,-2.502,2.869,-9.338
0.905,0.277,0.38,2.869,2.258,-13.855
0.882,0.281,0.345,9.094,1.709,-18.188
0.874,0.268,0.335,13.672,0.61,-22.4
0.864,0.267,0.321,13.489,-2.014,-24.109
0.876,0.26,0.335,13.184,-3.662,-23.743
0.858,0.251,0.32,10.254,-5.188,-21.912
0.854,0.233,0.319,10.62,-5.981,-21.301
0.866,0.215,0.345,11.902,-7.751,-20.386
0.861,0.192,0.367,13.916,-7.935,-18.066
0.856,0.184,0.38,13.367,-6.47,-14.526
0.862,0.2,0.373,10.071,-4.089,-9.338
0.853,0.236,0.356,6.104,-1.587,-3.479
0.855,0.272,0.346,2.93,0.183,0.488
0.855,0.303,0.333,0.549,0.793,3.113
0.854,0.327,0.323,-0.427,1.16,3.296
0.855,0.331,0.317,0.732,0.61,1.953
0.851,0.328,0.318,2.747,-0.61,-0.305
0.853,0.319,0.323,4.517,-1.465,-2.991
0.858,0.309,0.317,6.165,-1.587,-5.005
0.856,0.304,0.305,8.789,-1.77,-5.92
0.857,0.298,0.297,10.803,-2.258,-7.507
0.851,0.295,0.294,11.78,-3.235,-8.484
0.854,0.28,0.297,12.085,-3.906,-8.85
